,Precision,Recall,Accuracy,F1-score
0,0.8374336710082007,0.8611111111111112,0.8469742063492064,0.8491073612130106
1,0.6713939813213421,0.9627976190476191,0.7457837301587301,0.791114734053393
2,0.761239633347883,0.8650793650793651,0.796875,0.809844439284885
3,0.6781447645818693,0.9573412698412699,0.7514880952380952,0.7939119703825587
4,0.8393653941497273,0.839781746031746,0.8395337301587301,0.839573518472601
5,0.8096564531104921,0.8650793650793651,0.8308531746031746,0.8364508393285371
6,0.7989130434782609,0.875,0.8273809523809523,0.8352272727272728
7,0.7657430730478589,0.9047619047619048,0.8139880952380952,0.829467939972715
8,0.9069478908188585,0.7251984126984127,0.8253968253968254,0.8059536934950385
9,0.9062095730918499,0.6949404761904762,0.8115079365079365,0.7866367209432903

